,id,text,game,cleaned,english,len,sw_removed,stemmed
14,1.39502397336515e+18,Seeing the previews of Deathloop and its slowly moving up my list of most anticipated.  Murder puzzle and Dishonored with guns sounds great.,DeathLoop,seeing the previews of deathloop and its slowly moving up my list of most anticipated murder puzzle and dishonored with guns sounds great,seeing the of and its slowly moving up my list of most murder puzzle and with great,17,seeing slowly moving list murder puzzle great,see slowli move list murder puzzl great
15,1.39501839924417e+18,"We got a chance to see more Deathloop and walked away extremely impressed 

Our impressions on Kinda Funny Gamescast https://t.co/oseBWfuJYW",DeathLoop,we got a chance to see more deathloop and walked away extremely impressed our impressions on kinda funny gamescast https t co osebwfujyw,we got a chance to see more and away extremely our on funny t,14,got chance see away extremely funny,got chanc see away extrem funni
16,1.39449604899171e+18,"@Blade10171 @Emmody__ @IGN Horizon forbidden west, Grand turismo 7, FF7 intergrade, Kena bridge of Spirits, Deathloop, Ghostwire tokyo, Stray, Goodbye volcano high, God of war Ragnarok. Boom, name just 5 on Series x",DeathLoop,blade emmody ign horizon forbidden west grand turismo ff intergrade kena bridge of spirits deathloop ghostwire tokyo stray goodbye volcano high god of war ragnarok boom name just on series x,blade horizon forbidden west grand intergrade bridge of stray volcano high god of war boom name just on series x,20,blade horizon forbidden west grand intergrade bridge stray volcano high god war boom name series,blade horizon forbidden west grand intergrad bridg stray volcano high god war boom name seri
18,1.39041374332298e+18,"First time getting to play #Wreckfest from @THQNordic &amp; @bugbeargames yesterday with the guys thanks to PS Plus....all I gotta say is, Deathloop is my definitely new favorite track after the first race  https://t.co/1e48LarKqS",DeathLoop,first time getting to play wreckfest from thqnordic amp bugbeargames yesterday with the guys thanks to ps plus all i gotta say is deathloop is my definitely new favorite track after the first race https t co e larkqs,first time getting to play from yesterday with the thanks to plus all i say is is my definitely new favorite track after the first race t e,28,first time getting yesterday thanks plus say definitely new favorite track first race,first time get yesterday thank plu say definit new favorit track first race
19,1.38998038235165e+18,"Ratchet and Clank Rift Apart
Biomutant
Psychonauts 2 
Halo Infinite 
Horizon Forbidden West
The Ascent
Deathloop
Back 4 Blood
and ????

the rest of 2021 is gonna be  https://t.co/wYOxn3sn7I",DeathLoop,ratchet and clank rift apart biomutant psychonauts halo infinite horizon forbidden west the ascent deathloop back blood and the rest of is gonna be https t co wyoxn sn i,ratchet and clank rift apart halo infinite horizon forbidden west the ascent back blood and the rest of is be t i,22,ratchet clank rift apart halo infinite horizon forbidden west ascent back blood rest,ratchet clank rift apart halo infinit horizon forbidden west ascent back blood rest
20,1.38900004621829e+18,@GameLuster You know it's Deathloop for me ! Maybe Starfield,DeathLoop,gameluster you know it s deathloop for me maybe starfield,you know it s for me maybe,7,know maybe,know mayb
21,1.38782868904426e+18,Aight but when was someone going to tell me about Deathloop cause itâ€™s giving very much Dishonored and that is one of my favorite video games and I miss it https://t.co/vJjgPrEBwo,DeathLoop,aight but when was someone going to tell me about deathloop cause it s giving very much dishonored and that is one of my favorite video games and i miss it https t co vjjgprebwo,but when was someone going to tell me about cause it s giving very much and that is one of my favorite video and i miss it t,28,someone going tell cause giving much one favorite video miss,someon go tell caus give much one favorit video miss
27,1.38203641991332e+18,"Any fans of the game known as @deathloop? Welp is delayed. I hope you're all getting ready for that Sept release date. I know I'll be watching @FrostyPhenix do some gameplay of it. 

#ftonerdtalk #deathloop #videogames #VideoGamesCollection https://t.co/h5BGTNt4z0",DeathLoop,any fans of the game known as deathloop welp is delayed i hope you re all getting ready for that sept release date i know i ll be watching frostyphenix do some gameplay of it ftonerdtalk deathloop videogames videogamescollection https t co h bgtnt z,any of the game known as is i hope you re all getting ready for that sept release date i know i be watching do some of it t h z,31,known hope getting ready sept release date know watching,known hope get readi sept releas date know watch
30,1.38022687407748e+18,@deathloop @ArkaneStudios That's okay! Please take your time!,DeathLoop,deathloop arkanestudios that s okay please take your time,that s please take your time,6,please take time,pleas take time
31,1.38019409553296e+18,I feel like at this point games should always be vague about when they're releasing and then surprise drop when they're ready https://t.co/Aq74tTDrSu,DeathLoop,i feel like at this point games should always be vague about when they re releasing and then surprise drop when they re ready https t co aq ttdrsu,i feel like at this point should always be vague about when they re and then surprise drop when they re ready t,23,feel like point always vague surprise drop ready,feel like point alway vagu surpris drop readi
