timestamp,open,high,low,close,volume,stock
2022-04-29,78.21,78.465,75.33,75.6,43763417,ATVI
2022-04-22,78.8,79.345,78.53,78.61,20587619,ATVI
2022-04-14,80,80.25,78.79,78.93,19658222,ATVI
2022-04-08,80.82,81.13,79.91,80.09,22067998,ATVI
2022-04-01,79.31,80.87,79.18,80.82,26883458,ATVI
2022-03-25,78.84,79.97,78.405,79.6,26938903,ATVI
2022-03-18,80.05,80.445,78.55,78.76,51619553,ATVI
2022-03-11,81.18,81.5,80.18,80.31,43675949,ATVI
2022-03-04,81.05,81.83,80.575,81.43,40886014,ATVI
2022-02-25,81.15,81.87,80.02,81.44,36131614,ATVI
2022-02-18,81.49,82.0025,80.895,81.05,35281746,ATVI
2022-02-11,79.795,81.94,79.32,81.5,45554155,ATVI
2022-02-04,78.87,79.83,77.91,79.25,74481823,ATVI
2022-01-28,80.74,81.84,77.765,79.14,71162601,ATVI
2022-01-21,86.765,86.9,81.15,81.35,184520260,ATVI
2022-01-14,63.89,65.985,61.99,65.39,65804582,ATVI
2022-01-07,66.44,68.0099,63.33,64.04,74200819,ATVI
2021-12-31,65.24,67.889,65,66.53,50345673,ATVI
2021-12-23,61.01,65.389,60.67,65.16,43278590,ATVI
2021-12-17,58.6,62.065,58.02,61.36,51979478,ATVI
2021-12-10,57.53,60.01,57.24,58.6,49429555,ATVI
2021-12-03,60.885,60.95,56.4,57.36,60543468,ATVI
2021-11-26,60.93,62.92,59.775,60.62,51139212,ATVI
2021-11-19,69.315,72.135,60.9,62.38,117381584,ATVI
2021-11-12,68.43,70.04,66.02,69.69,56649135,ATVI
2021-11-05,78.94,80.01,64.55,67.83,89765543,ATVI
2021-10-29,79.43,82.34,76.65,78.19,40240737,ATVI
2021-10-22,76.14,80.92,75.24,79.27,27058582,ATVI
2021-10-15,77.74,77.76,74.5882,76.4,31510617,ATVI
2021-10-08,78.19,78.5,75.69,77.61,42616950,ATVI
2021-10-01,75.03,79.04,73.69,78.53,40776495,ATVI
2021-09-24,78.64,78.8192,72.2,75.26,53476895,ATVI
2021-09-17,80.12,80.76,77.1,79.56,39485700,ATVI
2021-09-10,81.405,81.42,77.1346,79.64,47190528,ATVI
2021-09-03,81.5,83.38,79.92,81.18,38150115,ATVI
2021-08-27,82.93,83.49,80,82.43,44241745,ATVI
2021-08-20,83.5,84.535,82.19,82.63,26477115,ATVI
2021-08-13,81.855,86.39,81.24,83.85,39945540,ATVI
2021-08-06,84.03,84.165,77.81,82.43,62876262,ATVI
2021-07-30,91.026,91.4,81.56,83.62,58621185,ATVI
2021-07-23,91.75,92.25,89.555,91.5,29142972,ATVI
2021-07-16,93.33,93.86,90.595,91.8,30648003,ATVI
2021-07-09,94.47,95.27,91.46,92.38,16993145,ATVI
2021-07-02,92.79,96.15,92.6,94.27,23722504,ATVI
2021-06-25,91.88,93.74,90.23,92.26,30343939,ATVI
2021-06-18,98.39,99.459,91.05,91.49,32827363,ATVI
2021-06-11,96.89,98.355,96.09,98.15,17383008,ATVI
2021-06-04,97.26,97.6,94.065,96.84,13576790,ATVI
2021-05-28,95.93,98.4801,95.82,97.25,21196801,ATVI
2021-05-21,92.68,97.23,91.53,95.37,27827822,ATVI
2021-05-14,95.06,95.77,92.26,93.35,27172330,ATVI
2021-05-07,91.7,95.12,87.44,94.8,49404948,ATVI
2021-04-30,92.62,94.86,90.89,91.19,32081624,ATVI
2021-04-23,96.925,97.58,91.89,93.02,27073485,ATVI
2021-04-16,95.1,98.25,95,96.48,28948614,ATVI
2021-04-09,96.01,98.42,94.545,95.78,25682183,ATVI
2021-04-01,92.25,95.7,90.79,95.54,27416861,ATVI
2021-03-26,90.63,92.6,89.06,92.4,24695361,ATVI
2021-03-19,92.8661,94.8,89.165,90.49,32537111,ATVI
2021-03-12,91.75,93.8311,89.13,93.035,25097604,ATVI
2021-03-05,97.09,98.99,90.32,92.58,28529882,ATVI
2021-02-26,99.82,99.82,93.55,95.61,29981456,ATVI
2021-02-19,103.82,104.53,100.585,100.8,16956440,ATVI
2021-02-12,102.05,104.215,100.39,103.81,22320214,ATVI
2021-02-05,91.48,104.2299,90.86,101.61,42052849,ATVI
2021-01-29,95.53,95.76,88.21,91,37661817,ATVI
2021-01-22,90.915,95.87,90.83,94.43,19659334,ATVI
2021-01-15,91.3,91.85,87.96,90.69,30222258,ATVI
